"Fiscal_Year","Country","HE.Provider","Level.Of.Study","Mode.Of..Study","Academic.Year","Visa.Code","Visa.Fee....","Visa.NHS.Charge....","Visa.After.Graduation","Visa.Work.Requirements.After.Graduation","Salary.Requirements","Dependents.Allowed","Visa.Fee..Dependents","Visa.NHS.Charge.Depen","Growth.Indicator","Enrollment","Value","Tuition_Av","FX_Rate"
"2014","Gambia","University of the Highlands and Islands","All postgraduate","Part-time","2014/2015","Tier 4 (General)","310","150","Not Applicable","None","None","Yes","310","150","GDP ",0,-1.41,12000,65.97
"2014","Gambia","University of the Highlands and Islands","All postgraduate","Part-time","2014/2015","Tier 4 (General)","310","150","Not Applicable","None","None","Yes","310","150","Inflation ",0,5.21,12000,65.97
"2014","Ghana","Abertay University","All postgraduate","Full-time","2014/2015","Tier 4 (General)","310","150","Not Applicable","None","None","Yes","310","150","GDP ",0,2.86,13000,4.98583333333333
"2014","Ghana","Abertay University","All postgraduate","Full-time","2014/2015","Tier 4 (General)","310","150","Not Applicable","None","None","Yes","310","150","Inflation ",0,23.94,13000,4.98583333333333
"2014","Ghana","Abertay University","All postgraduate","Part-time","2014/2015","Tier 4 (General)","310","150","Not Applicable","None","None","Yes","310","150","GDP ",0,2.86,13000,4.98583333333333
"2014","Ghana","Abertay University","All postgraduate","Part-time","2014/2015","Tier 4 (General)","310","150","Not Applicable","None","None","Yes","310","150","Inflation ",0,23.94,13000,4.98583333333333
"2014","Ghana","Edinburgh Napier University","All postgraduate","Full-time","2014/2015","Tier 4 (General)","310","150","Not Applicable","None","None","Yes","310","150","GDP ",120,2.86,14000,4.98583333333333
"2014","Ghana","Edinburgh Napier University","All postgraduate","Full-time","2014/2015","Tier 4 (General)","310","150","Not Applicable","None","None","Yes","310","150","Inflation ",120,23.94,14000,4.98583333333333
"2014","Ghana","Edinburgh Napier University","All postgraduate","Part-time","2014/2015","Tier 4 (General)","310","150","Not Applicable","None","None","Yes","310","150","GDP ",0,2.86,14000,4.98583333333333
"2014","Ghana","Edinburgh Napier University","All postgraduate","Part-time","2014/2015","Tier 4 (General)","310","150","Not Applicable","None","None","Yes","310","150","Inflation ",0,23.94,14000,4.98583333333333
